"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"118",34,1,0,"666edd4812b81506cf77bc42",5,4,419.68,385.631,-34.049,"woman","multiracial"
"119",58,1,0,"66b7858b0376b5787163c706",2,1,41.122,50.803,9.681,"none","black"
"120",24,2,0,"668414dbf6706605419e1399",4,3,184.255,119.699,-64.556,"none","none"
"121",34,2,0,"6574b6366e119563e846fe37",1,1,348.288,186.655,-161.633,"woman","none"
"122",53,1,1,"661ae617af53e0326088784a",1,1,619.916,732.615,112.699,"none","multiracial"
"123",52,3,1,"66bb3017b0839cd84ce78567",3,4,696.2,67.954,-628.246,"woman","black"
"124",24,1,1,"5e71d2aabea4de0f620d7f1a",3,2,79.861,9.839,-70.022,"none","none"
"125",37,1,1,"6576a02c1b74b657e5a7f6fe",4,4,203.765,54.155,-149.61,"woman","black"
"126",23,3,0,"5fffc52fcda7a4140ae416cd",4,3,414.243,11.565,-402.678,"none","none"
"127",37,1,1,"65c2f459a1c73fd757b85347",3,2,245.685,258.135,12.45,"woman","multiracial"
"128",26,1,1,"60f4e3ab507bbb123f866e88",7,4,26.855,24.902,-1.953,"none","none"
"129",30,1,1,"60f853cd86a859bfa351a37c",2,3,203.747,729.418,525.671,"none","none"
"130",47,2,1,"62a7c4d5266dfb89bf94fec8",1,1,90.249,54.566,-35.683,"woman","none"
"131",46,2,0,"668db0570456e3dffe6591d0",2,3,63.821,142.345,78.524,"none","multiracial"
"132",30,1,1,"5efe8c25e921d23a9daec079",2,3,368.423,32.658,-335.765,"woman","black"
"133",53,1,1,"66db84769805e4c05b6fa45d",4,4,51.705,30.835,-20.87,"none","none"
"134",45,1,1,"5eace152e25d6800091dd418",4,4,352.46,89.521,-262.939,"woman","black"
"135",47,3,0,"5e2c7806bb1a6e000cf7f2e8",6,6,116.884,60.3,-56.584,"woman","black"
"136",46,1,1,"657b0cc81bc888fb7ce32002",3,3,469.199,133.012,-336.187,"woman","multiracial"
"137",38,1,0,"5fb5ef0ab61b9e02d5752768",6,4,811.123,335.637,-475.486,"woman","multiracial"
"138",45,2,1,"65c19735a918130b0aa9b3e4",3,6,13.44,981.343,967.903,"woman","none"
"139",23,1,0,"671c9164129e7525cd98369b",4,4,108.675,135.781,27.106,"woman","multiracial"
"140",25,1,1,"656427c004ff9019381f0e21",4,2,108.018,79.769,-28.249,"woman","none"
"141",27,2,0,"65e4124826438fd6dc97bd7e",2,2,201.468,17.468,-184,"woman","none"
"142",35,1,0,"66c4d4b6dea13fa09f78fc95",2,2,760.46,203.668,-556.792,"woman","none"
"143",71,2,1,"656de95d96d9c1b0bfa2ba83",2,2,46.346,107.685,61.339,"none","multiracial"
"144",44,1,1,"5f514708067fba172909261a",4,3,7.199,23.401,16.202,"none","black"
"145",52,2,1,"583b397f54686200010f1d20",4,4,56.942,227.674,170.732,"woman","multiracial"
"146",30,5,1,"66378b510517054e86c36e8d",4,5,317.77,143.445,-174.325,"none","none"
"147",38,1,0,"66465610797810a106c2e4cd",2,2,310.632,531.505,220.873,"none","black"
"148",52,2,1,"65304957819744cb14dd6428",7,3,54.922,116.072,61.15,"none","multiracial"
"149",38,1,1,"668d657ae92a34871791712b",7,7,493.815,182.618,-311.197,"woman","multiracial"
"150",37,5,0,"66468913bf5fcda0c18b3e2a",2,2,1064.669,463.494,-601.175,"none","none"
"151",25,2,0,"66c8d605b401464f1cb92e5c",2,2,251.364,242.493,-8.871,"none","multiracial"
"152",38,3,1,"65957b97896708cd25109c8b",2,2,10.438,69.105,58.667,"woman","black"
"153",31,1,0,"5ec4a156bc5aac3819ac52f2",2,2,96.873,45.272,-51.601,"none","multiracial"
"154",19,1,0,"671ac163463c7d1f35b78f3e",2,3,196.656,89.382,-107.274,"none","multiracial"
"155",43,5,1,"6563cee60741f7a77c601ec9",1,2,112.001,20.145,-91.856,"none","none"
"156",37,3,1,"65ca9c729a13f898ae374552",1,1,42,26.08,-15.92,"woman","black"
"157",27,1,1,"60234c1d5a0cf81cba76ce5d",2,1,566.571,135.6,-430.971,"woman","multiracial"
"158",30,5,0,"66ada3c630ff8dd4f7d3aeb0",1,1,188.144,11.394,-176.75,"woman","black"
"159",25,1,1,"66d91ce8c5f9e72c28cc09d3",6,5,434.928,550.779,115.851,"woman","none"
"160",48,3,1,"6695704d3496e2d9ed79c301",2,3,239.436,119.945,-119.491,"woman","multiracial"
"161",34,1,1,"6020a97ae790606e1add320d",3,5,169.976,54.325,-115.651,"none","none"
"162",52,3,1,"6466685f630eb8c3f8856e5e",1,1,183.913,82.192,-101.721,"woman","multiracial"
"163",43,2,0,"666317e03c321f207afc66d8",1,1,127.751,239.756,112.005,"woman","multiracial"
"164",24,2,0,"5ed1adc2906e0810d6ccccbf",1,1,35.8,52.718,16.918,"woman","none"
"165",40,3,1,"6535e1f791c689acc938b248",4,2,900.051,900.006,-0.045,"none","black"
"166",23,1,1,"66a4b71e4e2313876dfec9fc",5,6,700.278,335.527,-364.751,"woman","none"
"167",23,2,1,"66c4e59ee03a1a6acd505024",6,4,336.965,150.017,-186.948,"none","none"
